TXT_KEY_PEDIA_CATEGORY_MINOR_LEADER	次要领袖
TXT_KEY_LEADER_LETHE_PEDIA	莱丝，悲痛女王在官方剧本中登场。
TXT_KEY_LEADER_MAHON_PEDIA	屠夫玛洪在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_MALCHAVIC_PEDIA	马加别克在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_MELISANDRE_PEDIA	梅里山德雷在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_MERESIN_PEDIA	梅尔森在官方剧本中登场。[NEWLINE][NEWLINE][TAB]又名“低语神父”。梅尔森曾是一家孤儿院的院长，对他照管的孩子极尽虐待。他会把孤儿院的“服务”提供给周边城镇，随后声称孩子们逃走了，而事实上大多数孩子被关押在孤儿院地下，直到再也无法取悦他，便被活活烧死在孤儿院的焚化炉里。他会用带倒刺的连枷抽打孩子，偶尔也抽打自己。[PARAGRAPH:1]尽管有人对他展开过调查，也有几个孩子险些逃脱，梅尔森却始终未被抓获，他一生折磨并杀害了数百名儿童。直到一场瘟疫在城中蔓延，梅尔森开始收留新近失去双亲（且染病）的孩子，这才染上瘟疫，命丧于此。随后镇上的人发现了那间地窖，里面仍关着被囚的孩子，地面上覆满灰烬与骸骨。[PARAGRAPH:1]那座孤儿院至今仍被死在那里的孩子们的亡魂萦绕。有徘徊在焚化炉里的幽灵，还有栖身地窖中的“黑暗召唤者”。凡是靠得太近废墟的孩子（尤其在夜里）都会被它们吸引过去。一位埃洛希姆女祭司曾在重生纪元试图净化这片废墟，却在过程中丧命，如今她的灵魂在此地游荡，想找到另一个能破除诅咒的人。[PARAGRAPH:1]梅尔森死后成了恶魔，他专注于离家出走者。他是从阴影中呼唤的声音，是迷途者的慰藉，也是那煽动怒火、教唆孩子背叛父母的声音。他仍握着那把带倒刺的连枷。若召唤梅尔森，他能以令敌人渗出血汗的疾病诅咒他们，或勾起他们的淫欲，但他索要一个活着的孩子作为交换。
TXT_KEY_LEADER_KOUN_PEDIA	权臣寇恩会在一场“某城市请求脱离你的文明”的事件之后进入游戏。他有 50% 的概率或是站在母文明一方开局，或是独立开局（该概率在游戏开始时确定）。将权臣寇恩带入游戏的事件仅在约 1/3 的对局中出现。除特性外，权臣寇恩的所有属性都以母文明为基础（因此他共享相同的特色建筑、特色单位、文明特性与世界法术）。他将掌控那座获得解放的城市开局，麾下有 4 名弓箭手和 1 名工人。权臣寇恩在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_OUZZA_PEDIA	领主瞿札在官方剧本中登场。[NEWLINE][NEWLINE][TAB]当阿斯莫迪要求每座村庄献上一名孩童时，瞿札所在的村庄（连同他自己的父亲）为讨好这位强大的公爵，把他献了出去。先是逼他饮下一瓶被祝圣过的血神之酒，献祭了他的心智；接着，他的身体被一块块地献祭。最后，在他奄奄一息之际，他的灵魂被献给了阿加雷斯。[PARAGRAPH:1]阿加雷斯收下了这份供奉。终有一日，瞿札化作恶魔归来，向那些如此轻易将他献出的村民索取自己的一份——从某些人身上取走一条舌头，从另一些人身上取走一只眼睛，从某些人身上取走一部分心智或灵魂。[PARAGRAPH:1]战斗中，瞿札能从活着的目标体内召唤出毒蛇，他的凝视会令人瘫痪。他携带一把血淋淋的砍刀，可用来砍下肢体，还有一把用于取出内脏的仪式匕首——他通常趁受害者仍活着且瘫痪时动手。瞿札的魔法对那些甘愿牺牲自己以拯救他人的人不起作用。[PARAGRAPH:1]瞿札（又名“祭坛的呼唤”或“唤肉者”）会回应那些失去了某个身体部位之人的祈祷，他能提供替代之物，尽管是被扭曲的版本，而且他期望呼唤他的人作出某种个人牺牲。
TXT_KEY_LEADER_RIUROS_PEDIA	里奥罗斯在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_RIVANNA_PEDIA	厉鬼之王瑞安那在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_SHEKINAH_PEDIA	斯金娜在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_STATIUS_PEDIA	救世主斯得第乌斯在官方剧本中登场。
TXT_KEY_LEADER_TETHIRA_PEDIA	特锡拉在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_THESSALONICA_PEDIA	泰莎罗尼卡在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_TYA_PEDIA	提雅·熙莱在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_VOLANNA_PEDIA	伯兰娜在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_WEEVIL_PEDIA	维伊、皮克和海德在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_CONCEPT_MULTIPLE_PRODUCTION	多重生产
TXT_KEY_CONCEPT_MULTIPLE_PRODUCTION_PEDIA	[H1]多重生产[\\H1][PARAGRAPH:2]这个游戏选项改变了城市中生产溢出的处理方式。当生产溢出超过溢出上限而外泄时，它会立即用于队列中的下一个项目，而不是转化为金币。当一座城市的生产溢出足够完成生产队列中的下一个或多个项目时，它们也会在同一回合内完成。[PARAGRAPH:2]此规则不适用于仪式和奇观，因为那样就能通过积累溢出，在满足要求后更快地建造它们。生产溢出不会从常规生产转到用食物生产的项目上，反之亦然，否则就能靠积累足够的溢出来避免城市停止增长。用食物生产的各项目之间会像常规生产那样相互结转生产溢出。
TXT_KEY_GAME_OPTION_MULTIPLE_PRODUCTION	多重生产
TXT_KEY_GAME_OPTION_MULTIPLE_PRODUCTION_HELP	当一座城市的产能足以完成不止一个项目时，它每回合可以生产多个项目。
TXT_KEY_MISC_LOST_PROD_CONVERTED	%s1_CityName再也无法结转[ICON_PRODUCTION]溢出了。损失的%d2_NumProduction[ICON_PRODUCTION]转化为了%d3_NumGold[ICON_GOLD]！
TXT_KEY_CITY_FOUNDED	建立于：%s1
TXT_KEY_MISC_SOMEONE_CREATED_UNIT	%s1_PlyrName创建了%s2_UnitName！
TXT_KEY_POPUP_RELIGION_SPREAD	[COLOR_HIGHLIGHT_TEXT]%s1_RelName[COLOR_REVERT]已在你的领土上传播！
TXT_KEY_MISC_REL_FOUNDED	%s1_RelName已在%s2_CityName创立！
TXT_KEY_MISC_REL_FOUNDED_UNKNOWN	%s1_RelName已在一片遥远的土地上创立！
TXT_KEY_MISC_REL_IS_FOUNDED	%F1_RelIcon在%s2_CityName创立
TXT_KEY_MISC_REL_FOUNDED_MOVIE	你创立了%s1_religion
TXT_KEY_MISC_PLAYER_CONVERT_RELIGION	%s1_PlyrName皈依了[COLOR_HIGHLIGHT_TEXT]%s2_RelName[COLOR_REVERT]！
TXT_KEY_MISC_CONVERT_TO_REL	皈依%s1_RelName
TXT_KEY_MISC_CANNOT_CONVERT_TO	无法皈依[COLOR_HIGHLIGHT_TEXT]%s1_RelName[COLOR_REVERT]
TXT_KEY_MISC_RELIGION_SPREAD	[COLOR_HIGHLIGHT_TEXT]%s1_RelName[COLOR_REVERT]已在%s2_CityName传播。
TXT_KEY_CIV_BARBARIAN_DESC	蛮族国家
TXT_KEY_TRAIT_EXPANSIVE	扩张
TXT_KEY_TRAIT_EXPANSIVE_SHORT	扩
TXT_KEY_PEDIA_TRAITS	特性
TXT_KEY_MISC_DECLARED_WAR_ON_YOU	%s1_PlyrName已向你宣战！
TXT_KEY_CONCEPT_PROMOTIONS	晋升
TXT_KEY_TIME_TURN_SAVE	回合-%s1_TurnNum
TXT_KEY_TIME_TURN_STANDALONE	第%d1_TurnNum回合
TXT_KEY_WB_PROMOTIONS	晋升
TXT_KEY_MISC_CITY_CAPTURED_BY	%s1_CityName已被%s2_CivName占领！！！
TXT_KEY_GAME_OPTION_PUPPET_STATES	傀儡国
TXT_KEY_GAME_OPTION_PUPPET_STATES_HELP	允许建立傀儡国
TXT_KEY_CONCEPT_PUPPET_STATES	傀儡国
TXT_KEY_CONCEPT_PUPPET_STATES_PEDIA	[H1]傀儡国[\\H1][PARAGRAPH:2]当一个已掌握如何建立附庸国之知识的文明征服一座城市时，便可组建傀儡国。傀儡国作为征服方玩家的附庸而产生，其文明类型与该城市的前任所有者相同。傀儡国是一种特殊的附庸：它们不会获得宫殿，并且会永久作为附庸，除非它们取得“正统地位”。当一个傀儡国成为其文明类型中最后残存的文明时，便取得正统地位。到那时它就从傀儡国变为普通附庸。
TXT_KEY_MISC_ENABLES_PUPPET_STATES	[ICON_BULLET]启用傀儡国
TXT_KEY_POPUP_CREATE_PUPPET_STATE	在%s2_City建立一个亲%s1的政权
TXT_KEY_MEMORY_MADE_PUPPET	&quot;我们的权力全赖于你。&quot;
TXT_KEY_MISC_MAKE_PUPPET	%s2_City中的%s1_CivAdj势力已推举%s3_Leader为新%s4_Civ政权的领袖！
TXT_KEY_POPUP_RETURN_PUPPET_CITY	不，把控制权移交给我们的%s1_CivName盟友
TXT_KEY_GAME_OPTION_NO_INQUISITIONS	禁用宗教审判
TXT_KEY_GAME_OPTION_NO_INQUISITIONS_HELP	禁用宗教审判。不可训练审判官，也不可清除非国教，以降低叛乱的威胁。
TXT_KEY_BUILDING_UNIT_UPGRADE_COST_MOD	[ICON_BULLET]升级单位所需[ICON_GOLD]%D1_Mod%%
TXT_KEY_UNIT_COLLATERAL_DAMAGE_REVDCM	[ICON_BULLET]造成溅射伤害（最多对%d2个单位造成%d1%）
TXT_KEY_CIVIC_DISALLOW_INQUISITONS	[ICON_BULLET]禁用[LINK=literal]宗教审判[\\LINK]能力
TXT_KEY_CAPTURED_WONDER	%s1已夺取%s2！
TXT_KEY_YOU_CAPTURED_WONDER	你已夺取%s2！
TXT_KEY_DESTROYED_WONDER	%s1已摧毁%s2！
TXT_KEY_YOU_DESTROYED_WONDER	你已摧毁%s2！
TXT_KEY_POPUP_HYBOREMS_WHISPER_SELECT	[ICON_BULLET]选择%s1的城市
TXT_KEY_BUILDING_REQUIRES_NUM_SPECIAL_BUILDINGS	[COLOR_WARNING_TEXT]需要[LINK=literal]%s1_Name[\\LINK]（共%d2_NumCurr/%d3_NumTotal）[COLOR_REVERT]
TXT_KEY_BUILDING_REQUIRES_NUM_SPECIAL_BUILDINGS_NO_CITY	[COLOR_WARNING_TEXT]需要[LINK=literal]%s1_Name[\\LINK]（共%d2_NumTotal）[COLOR_REVERT]
TXT_KEY_TERRAIN_TURN_DAMAGE	[NEWLINE][ICON_BULLET]每回合%D1%%伤害
TXT_KEY_TERRAIN_TURN_HEALING	[NEWLINE][ICON_BULLET]每回合%D1%%治疗
TXT_KEY_VERSION	[COLOR_ALT_HIGHLIGHT_TEXT]MagisterModmod - 2023 年 10 月 20 日，基于 More Naval AI v2.9.1u[COLOR_REVERT]
