AI_DIPLO_MAKE_PEACE_WITH_1	我们再也不能袖手旁观、坐视这场杀戮了！你必须结束与%s2的战争！
TXT_KEY_MISC_ENABLES_FREE_TRADE_AGREEMENT	[ICON_BULLET]启用自由贸易协定
TXT_KEY_MISC_ENABLES_NON_AGGRESSION	[ICON_BULLET]启用互不侵犯条约
TXT_KEY_MISC_ENABLES_POW_EXCHANGE	[ICON_BULLET]启用战俘交换
TXT_KEY_MISC_HIRED_WAR_ALLY	卑鄙的%s1_CivAdj已说服奸诈的%s2_CivAdj向我们宣战！
TXT_KEY_MISC_CANCELLED_NON_AGGRESSION	%s1文明撕毁了与%s2文明的互不侵犯条约！
TXT_KEY_MISC_POW_KEPT	%s1文明违背了与%s2文明的战俘协议！
TXT_KEY_MISC_LIMITED_BORDERS	通行权
TXT_KEY_MISC_NON_AGGRESSION	互不侵犯条约
TXT_KEY_MISC_POW	战俘交换
TXT_KEY_MISC_NON_AGGRESSION_AGREEMENT	%s1与%s2签署了互不侵犯条约，以保障两国文明间的和平。
TXT_KEY_MISC_POW_AGREEMENT	%s1与%s2同意就其冲突交换战俘。
TXT_KEY_MISC_POW_RETURN	%s1与%s2之间的战俘交换已经完成。
TXT_KEY_MISC_NON_AGGRESSION_RETURN	%s1与%s2文明之间的互不侵犯条约已经终止。
TXT_KEY_MISC_PLAYERS_BREAK_DEFENSIVE_PACT	%s1与%s2之间的同盟已经解除。
TXT_KEY_MISC_TRADED_CONTACT_ANNOYED	出于怨恨，%s1把%s2的大使引见给了我们。
TXT_KEY_MISC_TRADED_CONTACT_CAUTIOUS	出于自身的考虑，%s1把%s2的大使引见给了我们。
TXT_KEY_MISC_TRADED_CONTACT_FRIENDLY	我们的好友%s1主动把%s2迷人的大使引见给了我们。
TXT_KEY_MISC_TRADED_CONTACT_FURIOUS	在某种阴险的图谋下，%s1把一些自称来自%s2的可疑大使引见给了我们。
TXT_KEY_MISC_TRADED_CONTACT_PLEASED	我们的朋友%s1把%s2迷人的大使引见给了我们。
TXT_KEY_MISC_TRADED_UNIT_TO_YOU	%s1向你交易了一个%s2。
TXT_KEY_TRADABLE_UNIT	[ICON_BULLET]单位可被交易
TXT_KEY_TRADE_BUY	出售
TXT_KEY_TRADE_BUY_CORPORATION	交易公司
TXT_KEY_TRADE_CONTACT	%s1_CivName与%s2_CivName建立了接触
TXT_KEY_TRADE_CONTACT_WITH	接触对象：
TXT_KEY_TRADE_EMBASSY	大使馆能够开展更高级的外交形式。[NEWLINE][ICON_BULLET]可签署[COLOR_HIGHLIGHT_TEXT]开放边境[COLOR_REVERT]协定。[NEWLINE][ICON_BULLET]可签署[COLOR_HIGHLIGHT_TEXT]防御同盟。[COLOR_REVERT][NEWLINE][ICON_BULLET][COLOR_GREEN]改善[COLOR_REVERT]两国间的外交关系。[NEWLINE][ICON_BULLET]允许两国间[COLOR_GREEN]交易某些军事单位[COLOR_REVERT]。[NEWLINE][ICON_BULLET][COLOR_WARNING_TEXT]若被召回，玩家将恶化两国间的外交关系。[COLOR_REVERT]
