TXT_KEY_MAPSCRIPTTOOLS_DENT_1_VOLCANO	老大哥的末日
TXT_KEY_MAPSCRIPTTOOLS_BIGBOG_3_LAND	渣滓湿地
TXT_KEY_MAPSCRIPTTOOLS_BIGBOG_4_LAKE	灯笼湖
TXT_KEY_MAPSCRIPTTOOLS_BIGBOG_4_LAND	灯笼荒野
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_DEFAULT_1	尼弗尔海姆
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_DEFAULT_2	亚特兰蒂斯
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_DEFAULT_3	努门诺尔
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_DEFAULT_4	米诺斯
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_DEFAULT_5	瑞拉农
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_DEFAULT_6	恩斯利霍尔姆
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_PLANETFALL_1	外星人总部
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_PLANETFALL_2	指挥中心
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_PLANETFALL_3	光明之城
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_PLANETFALL_4	亚特兰蒂斯指挥部
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_PLANETFALL_5	德拉尼拉岛
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_PLANETFALL_6	德克萨梅努斯岛
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_MARSNOW_4	先驱者站
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_MARSNOW_5	上古者隐居地
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_MARSNOW_6	先民居所
TXT_KEY_MAPSCRIPTTOOLS_LOSTISLE_MARSNOW_7	古火星遗迹
TXT_KEY_MAP_SCRIPT_ARCHIPELAGO_DESCR	《文明IV》终极水域地图。强大的海军并非可有可无！
TXT_KEY_MAP_SCRIPT_EARTH3_DESCR	模拟随机化地球的衍生地图生成器。
TXT_KEY_MAP_SCRIPT_EREBUS_DESCR	随机地图，生成一片奇幻世界的区域，世界的大部分未知且无关紧要。它允许以比行星级地图更小、更精细的尺度生成地形。
TXT_KEY_MAP_SCRIPT_FRACTURED_WORLD_DESCR	演化的板块构造地图。随着纪元来去，大陆漂移、断裂，世界缓慢改变，并生成可能被推向大陆的新岛屿。
TXT_KEY_MAP_SCRIPT_INLAND_SEA_DESCR	一片大海居于中央，四周被厚厚的陆地环带包围。
TXT_KEY_MAP_SCRIPT_MEDIUM_AND_SMALL_DESCR	高度随机的中小型陆块构成的真实世界。东西半球被海洋分隔，尽管偶尔可能有一条岛链将它们相连。
TXT_KEY_MAP_SCRIPT_PANGAEA_DESCR	泛盖亚：“同一个地球”，一块巨大的单一大陆。
TXT_KEY_MAP_SCRIPT_PERFECT_WORLD_DESCR	随机地图，模拟类地的板块构造、地转风与季风及降雨。
TXT_KEY_MAP_SCRIPT_RANDOM_DESCR	地图脚本，可在 Earth3、Erebus、Fractured World、Inland Sea、Medium and Small、PlanetFall、Sea Highlands 和 Tectonics 之间随机选取一个地图脚本。
TXT_KEY_MAP_SCRIPT_RING_WORLD_DESCR	基于拉里·尼文著名小说《环形世界》的随机地图。它生成一张狭窄（16 格宽）但很长的地图，带有人造陆块与气候。
TXT_KEY_MAP_SCRIPT_SEA_HIGHLANDS_DESCR	高地、谷地与山脉，并有若干较大的湖泊。
TXT_KEY_MAP_SCRIPT_TECTONICS_DESCR	生成山脉，并模拟板块构造，带来更真实/类地的地形（山脉、如安第斯山般靠近海岸的山峰，或如喜马拉雅般位于次大陆之间的山峰）。
TXT_KEY_MAP_SCRIPT_TERRA_DESCR	Terra 生成与地球相似的随机陆块。所有玩家都从旧世界开始。这些地图格外巨大！
TXT_KEY_MAP_SCRIPT_WORLD_WRAP	世界环绕
TXT_KEY_MAP_SCRIPT_WORLD_WRAP_FLAT	平面（无环绕）
TXT_KEY_MAP_SCRIPT_WORLD_WRAP_CYLINDRICAL	柱面（水平环绕）
TXT_KEY_MAP_SCRIPT_WORLD_WRAP_TUBULAR	管状（垂直环绕）
TXT_KEY_MAP_SCRIPT_WORLD_WRAP_TOROIDAL	环面（完全环绕）
TXT_KEY_MAP_COASTS	海岸
TXT_KEY_MAP_COASTS_STANDARD	标准
TXT_KEY_MAP_COASTS_EXPANDED	扩展
TXT_KEY_MAP_TEAM_START	团队起始
TXT_KEY_MAP_TEAM_START_NEIGHBORS	相邻
TXT_KEY_MAP_TEAM_START_SEPARATED	分隔
TXT_KEY_MAP_TEAM_START_RANDOM	随机
TXT_KEY_MAP_MARS_THEME	火星主题
TXT_KEY_MAP_MARS_THEME_SANDS_OF_MARS	火星之沙
TXT_KEY_MAP_MARS_THEME_TERRAFORMED_MARS	改造后的火星
TXT_KEY_MAP_RESOURCES	资源
TXT_KEY_MAP_RESOURCES_STANDARD	标准
TXT_KEY_MAP_RESOURCES_BALANCED	平衡
TXT_KEY_MAP_ARCHIPELAGO_LANDMASS_TYPE	陆块类型
TXT_KEY_MAP_ARCHIPELAGO_LANDMASS_SNAKY	蛇形大陆
TXT_KEY_MAP_ARCHIPELAGO_LANDMASS_ARCHIPELAGO	群岛
TXT_KEY_MAP_ARCHIPELAGO_LANDMASS_TINY_ISLANDS	微小岛屿
TXT_KEY_MAP_EARTH3_REGIONS	地图区域
TXT_KEY_MAP_EARTH3_REGIONS_NORMAL	普通地球
TXT_KEY_MAP_EARTH3_REGIONS_SPECIAL	特殊区域
TXT_KEY_MAP_EREBUS_MOUNTAINS	山脉
TXT_KEY_MAP_EREBUS_MOUNTAINS_NO_SOFTENING	不柔化
TXT_KEY_MAP_EREBUS_MOUNTAINS_10_PEAKS	山峰减少 10%
TXT_KEY_MAP_EREBUS_MOUNTAINS_20_PEAKS	山峰减少 20%
TXT_KEY_MAP_EREBUS_MOUNTAINS_30_PEAKS	山峰减少 30%
TXT_KEY_MAP_EREBUS_MOUNTAINS_40_PEAKS	山峰减少 40%
