TXT_KEY_PLE_UPGRADE_HELP	（CTRL：本格上的单位。[NEWLINE]ALT：全部单位）
TXT_KEY_PLE_FILTER_BUG_WOUNDED_ON	[COLOR_HIGHLIGHT_TEXT]切换生命筛选[COLOR_REVERT][NEWLINE]显示受伤和健康的单位
TXT_KEY_PLE_FILTER_HEALTHY	[COLOR_HIGHLIGHT_TEXT]切换生命筛选[COLOR_REVERT][NEWLINE]隐藏健康的单位
TXT_KEY_PLE_FILTER_HEALTHY_ON	[COLOR_HIGHLIGHT_TEXT]切换生命筛选[COLOR_REVERT][NEWLINE]显示健康的单位
TXT_KEY_PLE_FILTER_BUG_HEALTHY	[COLOR_HIGHLIGHT_TEXT]切换生命筛选[COLOR_REVERT][NEWLINE]仅显示健康的单位
TXT_KEY_PLE_FILTER_BUG_HEALTHY_ON	[COLOR_HIGHLIGHT_TEXT]切换生命筛选[COLOR_REVERT][NEWLINE]显示受伤和健康的单位
TXT_KEY_PLE_FILTER_AIR	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]隐藏空中单位
TXT_KEY_PLE_FILTER_AIR_ON	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]显示空中单位
TXT_KEY_PLE_FILTER_BUG_AIR	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]仅显示空中单位
TXT_KEY_PLE_FILTER_BUG_AIR_ON	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]显示陆、海、空单位
TXT_KEY_PLE_FILTER_SEA	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]隐藏海上单位
TXT_KEY_PLE_FILTER_SEA_ON	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]显示海上单位
TXT_KEY_PLE_FILTER_BUG_SEA	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]仅显示海上单位
TXT_KEY_PLE_FILTER_BUG_SEA_ON	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]显示陆、海、空单位
TXT_KEY_PLE_FILTER_LAND	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]隐藏陆地单位
TXT_KEY_PLE_FILTER_LAND_ON	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]显示陆地单位
TXT_KEY_PLE_FILTER_BUG_LAND	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]仅显示陆地单位
TXT_KEY_PLE_FILTER_BUG_LAND_ON	[COLOR_HIGHLIGHT_TEXT]切换类型筛选[COLOR_REVERT][NEWLINE]显示陆、海、空单位
TXT_KEY_PLE_FILTER_DOM	[COLOR_HIGHLIGHT_TEXT]切换军事筛选[COLOR_REVERT][NEWLINE]隐藏平民单位
TXT_KEY_PLE_FILTER_DOM_ON	[COLOR_HIGHLIGHT_TEXT]切换军事筛选[COLOR_REVERT][NEWLINE]显示平民单位
TXT_KEY_PLE_FILTER_BUG_DOM	[COLOR_HIGHLIGHT_TEXT]切换军事筛选[COLOR_REVERT][NEWLINE]仅显示平民单位
TXT_KEY_PLE_FILTER_BUG_DOM_ON	[COLOR_HIGHLIGHT_TEXT]切换军事筛选[COLOR_REVERT][NEWLINE]显示平民和军事单位
TXT_KEY_PLE_FILTER_MIL	[COLOR_HIGHLIGHT_TEXT]切换军事筛选[COLOR_REVERT][NEWLINE]隐藏军事单位
TXT_KEY_PLE_FILTER_MIL_ON	[COLOR_HIGHLIGHT_TEXT]切换军事筛选[COLOR_REVERT][NEWLINE]显示军事单位
TXT_KEY_PLE_FILTER_BUG_MIL	[COLOR_HIGHLIGHT_TEXT]切换军事筛选[COLOR_REVERT][NEWLINE]仅显示军事单位
TXT_KEY_PLE_FILTER_BUG_MIL_ON	[COLOR_HIGHLIGHT_TEXT]切换军事筛选[COLOR_REVERT][NEWLINE]显示平民和军事单位
TXT_KEY_PLE_FILTER_OWN	[COLOR_HIGHLIGHT_TEXT]切换国籍筛选[COLOR_REVERT][NEWLINE]隐藏本国单位
TXT_KEY_PLE_FILTER_OWN_ON	[COLOR_HIGHLIGHT_TEXT]切换国籍筛选[COLOR_REVERT][NEWLINE]显示本国单位
TXT_KEY_PLE_FILTER_BUG_OWN	[COLOR_HIGHLIGHT_TEXT]切换国籍筛选[COLOR_REVERT][NEWLINE]仅显示本国单位
TXT_KEY_PLE_FILTER_BUG_OWN_ON	[COLOR_HIGHLIGHT_TEXT]切换国籍筛选[COLOR_REVERT][NEWLINE]显示外国和本国单位
TXT_KEY_PLE_FILTER_FOREIGN	[COLOR_HIGHLIGHT_TEXT]切换国籍筛选[COLOR_REVERT][NEWLINE]隐藏外国单位
TXT_KEY_PLE_FILTER_FOREIGN_ON	[COLOR_HIGHLIGHT_TEXT]切换国籍筛选[COLOR_REVERT][NEWLINE]显示外国单位
TXT_KEY_PLE_FILTER_BUG_FOREIGN	[COLOR_HIGHLIGHT_TEXT]切换国籍筛选[COLOR_REVERT][NEWLINE]仅显示外国单位
TXT_KEY_PLE_FILTER_BUG_FOREIGN_ON	[COLOR_HIGHLIGHT_TEXT]切换国籍筛选[COLOR_REVERT][NEWLINE]显示外国和本国单位
TXT_KEY_PLE_GRP_STANDARD	[COLOR_HIGHLIGHT_TEXT]切换到标准模式[COLOR_REVERT][NEWLINE]查看常规单位图标并下达命令
TXT_KEY_PLE_GRP_STANDARD_ON	[COLOR_HIGHLIGHT_TEXT]标准模式[COLOR_REVERT][NEWLINE]切换单位的分组方式：按单位类型或按选定编组
TXT_KEY_PLE_GRP_UNITTYPE	按单位类型分组
TXT_KEY_PLE_GRP_GROUPS	按选定编组分组
TXT_KEY_PLE_GRP_PROMO	[COLOR_HIGHLIGHT_TEXT]切换到晋升模式[COLOR_REVERT][NEWLINE]查看可晋升的单位以及它们可获得的晋升
TXT_KEY_PLE_GRP_PROMO_ON	[COLOR_HIGHLIGHT_TEXT]晋升模式[COLOR_REVERT][NEWLINE]切换回标准模式
TXT_KEY_PLE_GRP_UPGRADE	[COLOR_HIGHLIGHT_TEXT]切换到升级模式[COLOR_REVERT][NEWLINE]查看可升级的单位以及它们可升级成的单位
TXT_KEY_PLE_GRP_UPGRADE_ON	[COLOR_HIGHLIGHT_TEXT]升级模式[COLOR_REVERT][NEWLINE]切换回标准模式
TXT_KEY_PLOT_FORTIFY_TO_UPGRADE	[SPACE]（必须驻守才能变为%s1_ImpName）
TXT_KEY_IMPROVEMENT_PLOT_CULTURE	[ICON_BULLET]为本格所有者提供%D1_Change[ICON_CULTURE]
TXT_KEY_IMPROVEMENT_CULTURE_RANGE	[ICON_BULLET]影响距离%d1_Num以内的地块
TXT_KEY_IMPROVEMENT_BOMBARD	[ICON_BULLET]可被轰击
TXT_KEY_IMPROVEMENT_FORTIFY_TO_UPGRADE	[ICON_BULLET]仅当有单位驻守时才能升级
TXT_KEY_IMPROVEMENT_VISIBILITY_RANGE	[ICON_BULLET]%D1_Change视野范围
TXT_KEY_IMPROVEMENT_SEE_FROM	[ICON_BULLET]%D1_Change视野高度
TXT_KEY_IMPROVEMENT_UNIQUE_RANGE	[ICON_BULLET]距离%d1_Num以内无法再建造一座
AI_DIPLO_MAKE_PEACE_DENIED_1	你的暴行不会很快被人遗忘……
AI_DIPLO_MAKE_PEACE_DENIED_2	忠诚以荣誉相报，勇气以英勇相报，好战以愤怒相报，愚行以毁灭相报！
AI_DIPLO_MAKE_PEACE_DENIED_3	这将是我们所有人的覆灭！
