TXT_KEY_BUG_OPT_ACTIONS__ASKDECLAREWARUNITS_TEXT	提示宣战
TXT_KEY_BUG_OPT_CITYBAR__TRADEDETAIL_HOVER	勾选后，显示贸易的明细：总额、对外、对外海外。每一项都包含其后各项：对外含对外海外，总额含对外与对外海外两者。
TXT_KEY_BUG_OPT_CITYBAR__COMMERCE_TEXT	商业
TXT_KEY_BUG_OPT_CITYBAR__COMMERCE_HOVER	勾选后，在各商业类型（[ICON_GOLD]、[ICON_RESEARCH]、[ICON_CULTURE] 与 [ICON_ESPIONAGE]）之前先显示商业总额（[ICON_COMMERCE]）。
TXT_KEY_BUG_OPT_CITYBAR__BUILDINGICONS_TEXT	建筑图标
TXT_KEY_BUG_OPT_CITYBAR__BUILDINGICONS_HOVER	勾选后，建筑列表以图标而非名称显示。
TXT_KEY_BUG_OPT_CITYBAR__CULTURETURNS_TEXT	文化回合
TXT_KEY_BUG_OPT_CITYBAR__CULTURETURNS_HOVER	勾选后，显示距离城市因文化（[ICON_CULTURE]）而扩张边境还有多少回合。
TXT_KEY_BUG_OPT_CITYBAR__GREATPERSONTURNS_TEXT	伟人回合
TXT_KEY_BUG_OPT_CITYBAR__GREATPERSONTURNS_HOVER	勾选后，显示距离城市诞生下一位伟人（[ICON_GREATPEOPLE]）还有多少回合。
TXT_KEY_BUG_OPT_CITYBAR__SPECIALISTS_TEXT	专家
TXT_KEY_BUG_OPT_CITYBAR__SPECIALISTS_HOVER	勾选后，显示城市专家的图标（包括市民与定居伟人）。
TXT_KEY_BUG_OPT_CITYBAR__REVOLTCHANCE_TEXT	叛乱几率
TXT_KEY_BUG_OPT_CITYBAR__REVOLTCHANCE_HOVER	勾选后，显示城市因文化压力而叛乱的概率。
TXT_KEY_BUG_OPT_CITYBAR__HIDEINSTRUCTIONS_TEXT	隐藏操作说明
TXT_KEY_BUG_OPT_CITYBAR__HIDEINSTRUCTIONS_HOVER	勾选后，隐藏关于选择城市与显示基础值的操作说明，以腾出空间显示新信息。
TXT_KEY_BUG_OPT_CITYBAR__CITYCONTROLLEDPLOTS_TEXT	高亮可耕作区域
TXT_KEY_BUG_OPT_CITYBAR__CITYCONTROLLEDPLOTS_HOVER	勾选后，高亮所选城市所控制的地块区域，类似于选中移民时的效果。
TXT_KEY_BUG_OPT_CITYBAR__CITYPLOTSTATUS_TEXT	高亮地块可改良性
TXT_KEY_BUG_OPT_CITYBAR__CITYPLOTSTATUS_HOVER	勾选后，根据地块是否正被耕作以及你改良它的能力，以不同颜色高亮所选城市控制的每块地块。
TXT_KEY_BUG_OPT_CITYBAR__WORKINGIMPROVEDPLOT_TEXT	已改良
TXT_KEY_BUG_OPT_CITYBAR__WORKINGIMPROVEDPLOT_HOVER	勾选后，高亮正被耕作且已改良的地块。
TXT_KEY_BUG_OPT_CITYBAR__WORKINGIMPROVABLEPLOT_TEXT	可改良
TXT_KEY_BUG_OPT_CITYBAR__WORKINGIMPROVABLEPLOT_HOVER	勾选后，高亮正被耕作且可改良的地块。
TXT_KEY_BUG_OPT_CITYBAR__WORKINGIMPROVABLEBONUSPLOT_TEXT	可改良（带资源）
TXT_KEY_BUG_OPT_CITYBAR__WORKINGIMPROVABLEBONUSPLOT_HOVER	勾选后，高亮正被耕作且可改良以提供资源的地块。
TXT_KEY_BUG_OPT_CITYBAR__WORKINGUNIMPROVABLEPLOT_TEXT	不可改良
TXT_KEY_BUG_OPT_CITYBAR__WORKINGUNIMPROVABLEPLOT_HOVER	勾选后，高亮正被耕作且无法改良的地块。
TXT_KEY_BUG_OPT_CITYBAR__NOTWORKINGIMPROVEDPLOT_TEXT	已改良
TXT_KEY_BUG_OPT_CITYBAR__NOTWORKINGIMPROVEDPLOT_HOVER	勾选后，高亮未被耕作但已改良的地块。
TXT_KEY_BUG_OPT_CITYBAR__NOTWORKINGIMPROVABLEPLOT_TEXT	可改良
TXT_KEY_BUG_OPT_CITYBAR__NOTWORKINGIMPROVABLEPLOT_HOVER	勾选后，高亮未被耕作但可改良的地块。
TXT_KEY_BUG_OPT_CITYBAR__NOTWORKINGIMPROVABLEBONUSPLOT_TEXT	可改良（带资源）
TXT_KEY_BUG_OPT_CITYBAR__NOTWORKINGIMPROVABLEBONUSPLOT_HOVER	勾选后，高亮未被耕作但可改良以提供资源的地块。
TXT_KEY_BUG_OPT_CITYBAR__NOTWORKINGUNIMPROVABLEPLOT_TEXT	不可改良
TXT_KEY_BUG_OPT_CITYBAR__NOTWORKINGUNIMPROVABLEPLOT_HOVER	勾选后，高亮未被耕作且无法改良的地块。
TXT_KEY_BUG_OPT_MISCHOVER__LEADERHEADHIDDENATTITUDE_TEXT	隐藏态度
TXT_KEY_BUG_OPT_MISCHOVER__LEADERHEADHIDDENATTITUDE_HOVER	勾选后，显示隐藏的态度加成（可能剧透）。
TXT_KEY_BUG_OPT_MISCHOVER__LEADERHEADWORSTENEMY_TEXT	头号敌人
TXT_KEY_BUG_OPT_MISCHOVER__LEADERHEADWORSTENEMY_HOVER	勾选后，在每个 AI 对手图标的悬浮提示中显示其头号敌人。
TXT_KEY_BUG_OPT_MISCHOVER__LEADERHEADDEFENSIVEPACTS_TEXT	防御协定
TXT_KEY_BUG_OPT_MISCHOVER__LEADERHEADDEFENSIVEPACTS_HOVER	勾选后，在每个对手图标的悬浮提示中显示其防御协定。
TXT_KEY_BUG_OPT_MISCHOVER__LATLONGCOORDS_TEXT	经度／纬度
TXT_KEY_BUG_OPT_MISCHOVER__LATLONGCOORDS_HOVER	勾选后，在你将地图居中后，悬浮于地块上时显示其经度与纬度。
TXT_KEY_BUG_OPT_MISCHOVER__PLOTWORKINGCITY_TEXT	耕作城市
TXT_KEY_BUG_OPT_MISCHOVER__PLOTWORKINGCITY_HOVER	勾选后，悬浮于你所属团队拥有的地块上时，显示哪座城市控制它，若正被耕作则以青色显示。
TXT_KEY_BUG_OPT_MISCHOVER__PLOTRECOMMENDEDBUILD_TEXT	推荐建造
TXT_KEY_BUG_OPT_MISCHOVER__PLOTRECOMMENDEDBUILD_HOVER	勾选后，悬浮于你拥有的地块上时，显示自动化工人将会建造的设施或道路。
TXT_KEY_BUG_OPT_MISCHOVER__PARTIALBUILDS_TEXT	未完工建造
TXT_KEY_BUG_OPT_MISCHOVER__PARTIALBUILDS_HOVER	勾选后，悬浮于含有未完工建造（设施、道路与砍伐）的地块上时，只要你的工人确实能够完成，就会显示完成它们所需的工人回合数。
TXT_KEY_BUG_OPT_MISCHOVER__UPDATEUNITNAMEONUPGRADE_TEXT	升级名称
TXT_KEY_BUG_OPT_MISCHOVER__UPDATEUNITNAMEONUPGRADE_HOVER	勾选后，若单位名称中含有其类型（如"伦敦的剑士5号"），升级时将替换为新类型（如"伦敦的锤兵5号"）。
TXT_KEY_BUG_OPT_MISCHOVER__UNITEXPERIENCE_TEXT	初始经验
TXT_KEY_BUG_OPT_MISCHOVER__UNITEXPERIENCE_HOVER	勾选后，在训练单位按钮的悬浮提示中显示新单位将获得的经验值与可用晋升数。
TXT_KEY_BUG_OPT_MISCHOVER__UNITEXPERIENCEMODIFIERS_TEXT	初始经验加成
TXT_KEY_BUG_OPT_MISCHOVER__UNITEXPERIENCEMODIFIERS_HOVER	勾选后，在训练单位按钮的悬浮提示中显示经验值加成（建筑、军事教官、制度与奇观）。
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGACTUALEFFECTS_TEXT	建筑
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGACTUALEFFECTS_HOVER	勾选后，在建筑的悬浮提示中显示该建筑将为城市产生的 [ICON_COMMERCE]、[ICON_HAPPY]、[ICON_HEALTHY]、[ICON_GREATPEOPLE] 与 [ICON_DEFENSE] 的实际产出。
TXT_KEY_BUG_OPT_MISCHOVER__SPEDUPTECHS_TEXT	加速……
TXT_KEY_BUG_OPT_MISCHOVER__SPEDUPTECHS_HOVER	勾选后，显示获得你正悬浮的科技后将被加速研发的科技（例如，一旦你已获得狩猎，将农业悬浮时会显示畜牧业）。
TXT_KEY_BUG_OPT_MISCHOVER__TECHTRADEDENIAL_TEXT	科技交易拒绝
TXT_KEY_BUG_OPT_MISCHOVER__TECHTRADEDENIAL_HOVER	勾选后，将外交顾问科技页"不愿交易"栏中的某项科技悬浮时，会显示 AI 拒绝该交易的理由。
TXT_KEY_BUG_OPT_MISCHOVER__BONUSTRADEDENIAL_TEXT	资源交易拒绝
TXT_KEY_BUG_OPT_MISCHOVER__BONUSTRADEDENIAL_HOVER	勾选后，将外交顾问资源页"不愿交易"栏中的某项资源悬浮时，会显示 AI 拒绝该交易的理由。
TXT_KEY_BUG_OPT_MISCHOVER__BASECOMMERCE_TEXT	商业小计
TXT_KEY_BUG_OPT_MISCHOVER__BASECOMMERCE_HOVER	勾选后，在每种商业类型的悬浮提示中，于必要时显示小计（加成前的总额）。
TXT_KEY_BUG_OPT_MISCHOVER__GREATPEOPLERATEBREAKDOWN_TEXT	速率明细
TXT_KEY_BUG_OPT_MISCHOVER__GREATPEOPLERATEBREAKDOWN_HOVER	勾选后，在悬浮提示中显示各类型每回合的单独 [ICON_GREATPEOPLE] 速率。
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGSAVEDMAINTENANCE_TEXT	维护费
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGSAVEDMAINTENANCE_HOVER	勾选后，显示将影响维护费成本（[ICON_GOLD]）的建筑及其影响幅度。
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALFOOD_TEXT	食物
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALFOOD_HOVER	勾选后，显示将影响 [ICON_FOOD] 速率的建筑及其影响幅度。
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALPRODUCTION_TEXT	产能
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALPRODUCTION_HOVER	勾选后，显示将影响 [ICON_PRODUCTION] 速率的建筑及其影响幅度。
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALCOMMERCE_TEXT	商业
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALCOMMERCE_HOVER	勾选后，显示将影响 [ICON_COMMERCE]、[ICON_GOLD]、[ICON_RESEARCH]、[ICON_CULTURE] 与 [ICON_ESPIONAGE] 速率的建筑及其影响幅度。
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALHEALTH_TEXT	健康
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALHEALTH_HOVER	勾选后，显示将影响 [ICON_HEALTHY] 与 [ICON_UNHEALTHY] 速率的建筑及其影响幅度。
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALHAPPINESS_TEXT	快乐
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALHAPPINESS_HOVER	勾选后，显示将影响 [ICON_HAPPY] 与 [ICON_UNHAPPY] 速率的建筑及其影响幅度。
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALGREATPEOPLE_TEXT	伟人
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALGREATPEOPLE_HOVER	勾选后，显示将影响 [ICON_GREATPEOPLE] 速率的建筑及其影响幅度。
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALDEFENSE_TEXT	城市防御
TXT_KEY_BUG_OPT_MISCHOVER__BUILDINGADDITIONALDEFENSE_HOVER	勾选后，显示将影响城市 [ICON_DEFENSE] 及抗轰击能力的建筑及其影响幅度。
TXT_KEY_BUG_OPT_MISCHOVER__CONSCRIPTUNIT_TEXT	征召单位详情
TXT_KEY_BUG_OPT_MISCHOVER__CONSCRIPTUNIT_HOVER	勾选后，在征召按钮的悬浮提示中显示将被征召单位的完整详情。
TXT_KEY_BUG_OPT_MISCHOVER__CONSCRIPTLIMIT_TEXT	征召上限
TXT_KEY_BUG_OPT_MISCHOVER__CONSCRIPTLIMIT_HOVER	勾选后，在征召按钮的悬浮提示中显示本回合你可征召的单位数，以及该城市是否已征召过。
TXT_KEY_BUG_OPT_MISCHOVER__HURRYOVERFLOW_TEXT	鞭策按钮
TXT_KEY_BUG_OPT_MISCHOVER__HURRYOVERFLOW_HOVER	勾选后，鞭策按钮的悬浮提示会包含施行鞭策所产生的溢出（[ICON_PRODUCTION] 与 [ICON_GOLD]）。
TXT_KEY_BUG_OPT_MISCHOVER__HURRYOVERFLOWINCLUDECURRENT_TEXT	计入当前
TXT_KEY_BUG_OPT_MISCHOVER__HURRYOVERFLOWINCLUDECURRENT_HOVER	勾选后，鞭策溢出的计算会计入当前 [ICON_PRODUCTION] 速率。由于施行鞭策通常会影响该速率，实际溢出可能有所不同。
TXT_KEY_BUG_OPT_MISCHOVER__REMOVESPECIALIST_TEXT	移除专家按钮
TXT_KEY_BUG_OPT_MISCHOVER__REMOVESPECIALIST_HOVER	勾选后，移除专家按钮的悬浮提示会包含与添加专家按钮相同的专家信息。
TXT_KEY_BUG_OPT_MISCHOVER__CDAZOOMCITYDETAILS_TEXT	缩放至城市详情
TXT_KEY_BUG_OPT_MISCHOVER__CDAZOOMCITYDETAILS_HOVER	勾选后，缩放至城市按钮会包含关于该城市的详细信息，如同在地图上悬浮于城市栏时一般。
TXT_KEY_BUG_OPT_MISCHOVER__REMOVEFEATUREHEALTHEFFECTS_TEXT	地貌的健康影响
TXT_KEY_BUG_OPT_MISCHOVER__REMOVEFEATUREHEALTHEFFECTS_HOVER	勾选后，任何将清除具有健康影响之地貌（如森林或丛林）的工人行动，其悬浮提示会列出对附近每座城市的影响。
TXT_KEY_BUG_OPT_MISCHOVER__REMOVEFEATUREHEALTHEFFECTSCOUNTOTHERTILES_TEXT	考虑其他工人
TXT_KEY_BUG_OPT_MISCHOVER__REMOVEFEATUREHEALTHEFFECTSCOUNTOTHERTILES_HOVER	勾选后，清除某地貌对附近每座城市的影响，会将正在其他地块上执行清除地貌行动的工人一并纳入考量。
